N,PDL,CALLE,COLONIA,LONGITUD,LATITUD,ID
6988,7419,HOMBRES ILUSTRES,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243648,19.074958,URBANO
6989,7420,HOMBRES ILUSTRES,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243735,19.075279,URBANO
6990,7421,HOMBRES ILUSTRES,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243801,19.075581,URBANO
6991,7422,HOMBRES ILUSTRES,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.24384,19.076299,URBANO
6992,7423,HOMBRES ILUSTRES,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243944,19.076223,URBANO
6993,7424,HOMBRES ILUSTRES,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243698,19.0766,URBANO
6994,7425,DE LA LUZ,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243432,19.076604,URBANO
6995,7426,DE LA LUZ,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.242814,19.076523,URBANO
6996,7427,HOMBRES ILUSTRES,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243446,19.077183,URBANO
6997,7428,HOMBRES ILUSTRES,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243374,19.077411,URBANO
6998,7429,SEGUNDA CERRADA CRISTO REY,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.244076,19.077517,URBANO
6999,7430,SEGUNDA CERRADA CRISTO REY,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.244173,19.077244,URBANO
7000,7431,GUADALUPE VICTORIA,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243171,19.077604,URBANO
7001,7432,HOMBRES ILUSTRES,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243411,19.077606,URBANO
7002,7433,GUADALUPE VICTORIA,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.242812,19.077558,URBANO
7003,7434,GUADALUPE VICTORIA,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.24267,19.077527,URBANO
7004,7435,HOMBRES ILUSTRES,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243194,19.07789,URBANO
7005,7437,HOMBRES ILUSTRES,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.24296,19.07845,URBANO
7006,7438,HOMBRES ILUSTRES,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.24285,19.07871,URBANO
7007,7441,HOMBRES ILUSTRES,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.242781,19.0789,URBANO
7008,7443,FRANCISCO I MADERO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243234,19.079494,URBANO
7009,7444,PRIMERA PRIVADA CRISTO REY,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243363,19.079762,URBANO
7010,7446,HOMBRES ILUSTRES,MIGUEL ABED,-98.242716,19.079241,URBANO
7011,7447,HOMBRES ILUSTRES,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.242739,19.079701,URBANO
7012,7448,CARMEN SERDAN,MIGUEL ABED,-98.242271,19.079821,URBANO
7013,7449,HOMBRES ILUSTRES,MIGUEL ABED,-98.24262,19.079991,URBANO
7014,7450,BENITO JUAREZ,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.242929,19.080205,URBANO
7015,7451,HOMBRES ILUSTRES,MIGUEL ABED,-98.242603,19.080324,URBANO
7016,7452,MIGUEL HIDALGO,MIGUEL ABED,-98.242327,19.080601,URBANO
7017,7453,HOMBRES ILUSTRES,MIGUEL ABED,-98.242586,19.080596,URBANO
7018,7454,HOMBRES ILUSTRES,MIGUEL ABED,-98.242698,19.081044,URBANO
7019,7455,IGNACIO LOPEZ RAYON,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243164,19.08123,URBANO
7020,7456,IGNACIO LOPEZ RAYON,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243559,19.081438,URBANO
7021,7457,IGNACIO LOPEZ RAYON,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.24401,19.081664,URBANO
7022,7458,PROGRESO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.244004,19.081957,URBANO
7023,7459,PROGRESO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243822,19.082262,URBANO
7024,7460,MELCHOR OCAMPO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243831,19.082381,URBANO
7025,7461,MELCHOR OCAMPO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.244162,19.082662,URBANO
7026,7462,PRIMERA MELCHOR OCAMPO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.244157,19.083236,URBANO
7027,7463,MELCHOR OCAMPO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.244446,19.082845,URBANO
7028,7465,MELCHOR OCAMPO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.244648,19.082497,URBANO
7029,7466,MELCHOR OCAMPO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.244528,19.082907,URBANO
7030,7467,MELCHOR OCAMPO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.24471,19.082949,URBANO
7031,7468,CERRADA MELCHOR OCAMPO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.244516,19.083193,URBANO
7032,7469,CERRADA MELCHOR OCAMPO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.244363,19.083488,URBANO
7033,7470,MELCHOR OCAMPO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.245117,19.083202,URBANO
7034,7471,CUARTA PRIVADA MELCHOR OCAMPO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.245022,19.083399,URBANO
7035,7472,CUARTA PRIVADA MELCHOR OCAMPO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.244791,19.083789,URBANO
